recovery_case_id,service_ticket_id,pms_reservation_id,crm_guest_id,reservation_match_confidence,reservation_match_method,crm_match_confidence,crm_match_method,comp_match_confidence,comp_match_method,guest_tier,traveler_segment,nightly_rate,stay_value,estimated_lifetime_value,guest_value_score,repeat_comp_review_risk,arrival_date,service_date,booking_channel_proxy,room_type_mismatch,room_move_count,special_requests_count,failure_category,issue_code_raw,failure_type,severity,severity_inferred_flag,hotel_responsibility_score,reported_in_stay,resolution_delay_minutes,complaint_sentiment_intensity,review_risk_score,post_stay_score,actual_comp_codes_normalized,actual_comp_labels_raw,actual_comp_face_value,actual_comp_internal_cost,total_onsite_spend,f_and_b_spend,spa_wellness_spend,parking_spend,occupancy_pressure,housekeeping_pressure,front_desk_queue_pressure,food_beverage_capacity_pressure,spa_capacity_pressure,target_property_name,has_rooftop_f_and_b,has_lobby_lounge,has_spa_wellness,has_pool_or_rooftop,has_parking_or_fee_recovery_context,has_beachfront_or_ocean_context,property_context_confidence,rooftop_f_and_b_fit_modifier,spa_wellness_fit_modifier,lobby_lounge_fit_modifier,parking_fee_fit_modifier,late_checkout_fit_modifier,room_upgrade_fit_modifier,brand_experience_weight,property_context_provenance,public_review_risk_prior,review_context_confidence,review_context_provenance,event_pressure_index,weather_disruption_index,local_demand_pressure_index,high_local_demand_flag,demand_context_confidence,demand_context_provenance,target_public_rate,comp_set_median_rate,market_median_rate,proper_vs_comp_set_index,public_rate_pressure_index,high_demand_rate_flag,upgrade_opportunity_cost_proxy,refund_cost_pressure,pricing_quote_count,rate_context_confidence,pricing_provenance,data_quality_flags
case_00073,TKT000073,PMS001104,CRM001104,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,loyalty_guest,wellness_getaway,710,1420,8780,0.455,0,2026-07-20,2026-07-21,direct,false,0,1,rooftop_pool_access_issue,cabana issue,process,1,false,0.64,true,5,0.2,0.272,0,,,0,0,0,0,0,0,0.864,0.807,0.577,0.511,0.695,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.083,0.27,false,0.32,sample_seed_local_demand_context,770,725,748,1.062,0.593,false,162,1.125,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00074,TKT000074,PMS001316,CRM001316,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,design_leisure,600,2400,4230,0.254,0,2026-11-02,2026-11-02,travel_advisor,false,0,0,valet_or_parking_delay,parking,process,3,false,0.62,false,18,0.6,0.455,0,,,0,0,270,80,0,0,0.506,0.504,0.467,0.346,0.272,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.22,0.055,0.278,false,0.32,sample_seed_local_demand_context,740,640,650,1.156,0.474,false,136,1.098,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00075,TKT000075,PMS000410,CRM000410,0.58,room_date_window,0.95,direct_crm_id,0.0,no_comp_record,loyalty_guest,business_traveler,690,690,1242,0.361,0.12,2026-11-13,2026-11-13,direct,true,1,2,room_assignment_expectation_gap,room type mismatch,outcome,3,true,0.74,true,5,0.6,0.501,0,,,0,0,375,375,0,0,0.53,0.577,0.428,0.532,0.123,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.48,0.077,0.366,false,0.32,sample_seed_local_demand_context,750,730,740,1.027,0.514,false,145,1.083,6,0.92,sample_seed_public_rate_shape,low_reservation_match_confidence;severity_inferred;ltv_imputed;no_review_or_survey;no_comp_record
case_00076,TKT000076,PMS000574,CRM000574,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,event_or_suite_guest,local_staycation,1330,5320,40550,0.881,0,2026-02-28,2026-03-01,travel_advisor,false,0,1,housekeeping_miss,housekeeping,outcome,5,false,0.95,true,5,1.0,0.72,0,future_stay_credit,Future stay,375,225,0,0,0,0,0.601,0.438,0.655,0.328,0.42,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.48,0.02,0.371,false,0.32,sample_seed_local_demand_context,840,815,828,1.031,0.87,true,228,1.233,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00077,TKT000077,PMS000604,CRM000604,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,loyalty_guest,business_traveler,790,3160,12820,0.559,0.2,2026-11-04,2026-11-05,ota,false,0,0,valet_or_parking_delay,parking,process,2,true,0.62,true,5,0.4,0.337,0,spa_wellness_credit,Wellness credit,385,212,0,0,0,0,0.365,0.328,0.166,0.329,0.172,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.22,0.065,0.211,false,0.32,sample_seed_local_demand_context,685,650,668,1.054,0.257,false,94,0.981,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_review_or_survey
case_00078,TKT000078,PMS000748,CRM000748,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,business_traveler,390,2730,4250,0.27,0,2026-04-02,2026-04-07,travel_advisor,false,0,0,valet_or_parking_delay,parking,process,2,true,0.62,true,5,0.4,0.337,0,,,0,0,405,0,0,385,0.48,0.386,0.289,0.213,0.212,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.22,0.126,0.216,false,0.32,sample_seed_local_demand_context,635,560,572,1.134,0.059,false,59,0.918,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_review_or_survey;no_comp_record
case_00079,TKT000079,PMS000275,CRM000275,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,vip_guest,coastal_weekend,780,3900,27050,0.793,0.2,2026-11-28,2026-11-28,group_or_event,false,1,1,rooftop_pool_access_issue,pool wait,process,2,false,0.64,true,5,0.4,0.375,0,parking_fee_waiver,Parking waiver,85,15,190,105,0,30,0.622,0.593,0.45,0.661,0.3,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.48,0.134,0.462,false,0.32,sample_seed_local_demand_context,740,695,718,1.065,0.474,false,136,1.075,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00080,TKT000080,PMS001246,CRM001246,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,design_leisure,900,2700,8340,0.401,0,2026-12-20,2026-12-22,direct,true,0,0,maintenance_issue,room equipment,outcome,3,false,0.78,true,5,0.6,0.504,0,amenity_gesture,Bottle/amenity,0,0,70,0,0,70,0.481,0.506,0.339,0.487,0.312,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.69,0.28,sample_seed_review_taxonomy_prior,0.22,0.139,0.208,false,0.32,sample_seed_local_demand_context,640,630,635,1.016,0.079,false,62,0.897,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00081,TKT000081,PMS000806,CRM000806,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,business_traveler,560,1120,2030,0.189,0.2,2026-03-13,2026-03-14,direct,false,0,1,room_readiness_delay,room_not_ready,outcome,3,false,0.88,true,58,0.6,0.518,0,manager_note,Personal apology,0,0,190,190,0,0,0.567,0.573,0.515,0.453,0.323,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.48,0.611,0.524,false,0.32,sample_seed_local_demand_context,765,745,755,1.027,0.573,false,158,1.107,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00082,TKT000082,PMS000046,CRM000046,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,wellness_getaway,670,2680,4824,0.381,0,2026-10-29,2026-10-29,direct,false,0,1,maintenance_issue,room equipment,outcome,4,false,0.83,true,5,0.749,0.569,5.3,late_checkout,4pm checkout,0,0,60,60,0,0,0.323,0.252,0.184,0.39,0.333,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.69,0.28,sample_seed_review_taxonomy_prior,0.22,0.152,0.259,false,0.32,sample_seed_local_demand_context,685,670,678,1.022,0.257,false,94,0.973,6,0.92,sample_seed_public_rate_shape,ltv_imputed
case_00083,TKT000083,PMS000734,CRM000734,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,wellness_getaway,590,4130,5140,0.375,0.2,2026-02-14,2026-02-17,ota,false,0,2,noise_disruption,street noise,process,2,false,0.48,true,5,0.4,0.381,0,rooftop_f_and_b_credit,Food Credit,140,56,725,530,0,195,0.63,0.534,0.641,0.53,0.223,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.62,0.28,sample_seed_review_taxonomy_prior,0.22,0.491,0.288,false,0.32,sample_seed_local_demand_context,590,605,598,0.975,0.0,false,47,0.86,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00084,TKT000084,PMS000254,CRM000254,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,design_leisure,660,2640,4752,0.287,0,2026-09-08,2026-09-11,ota,false,0,1,housekeeping_miss,hk miss,outcome,4,false,0.95,true,5,0.909,0.458,6.8,,,0,0,405,0,220,185,0.725,0.799,0.698,0.606,0.538,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.7,0.052,0.522,false,0.32,sample_seed_local_demand_context,775,785,780,0.987,0.613,false,166,1.117,6,0.92,sample_seed_public_rate_shape,ltv_imputed;no_comp_record
case_00085,TKT000085,PMS001437,CRM001437,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,wellness_getaway,530,3710,10430,0.501,0.2,2026-08-01,2026-08-01,corporate,false,0,2,noise_disruption,noise,process,2,true,0.48,true,5,0.879,0.414,7.0,lobby_lounge_credit,Palma credit,0,0,330,195,0,135,0.801,0.814,0.463,0.568,0.725,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.62,0.28,sample_seed_review_taxonomy_prior,0.7,0.054,0.568,false,0.32,sample_seed_local_demand_context,800,795,798,1.006,0.711,false,189,1.16,6,0.92,sample_seed_public_rate_shape,severity_inferred
case_00086,TKT000086,PMS001297,CRM001297,0.78,guest_key_date_window,0.95,direct_crm_id,1.0,direct_ticket_id,vip_guest,design_leisure,1030,2060,12300,0.595,0.4,2026-12-18,2026-12-18,direct,false,0,0,room_assignment_expectation_gap,view issue,outcome,3,true,0.74,false,5,0.6,0.501,0,rooftop_f_and_b_credit,Restaurant credit,190,76,185,185,0,0,0.704,0.608,0.589,0.503,0.29,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.48,0.136,0.401,false,0.32,sample_seed_local_demand_context,785,725,738,1.083,0.652,false,175,1.155,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_review_or_survey
case_00087,TKT000087,PMS000823,CRM000823,0.78,guest_key_date_window,0.95,direct_crm_id,0.0,no_comp_record,vip_guest,business_traveler,1350,4050,26590,0.8,0,2026-08-05,2026-08-05,direct,true,1,1,valet_or_parking_delay,arrival valet,process,2,true,0.62,true,5,0.4,0.337,0,,,0,0,0,0,0,0,0.578,0.495,0.486,0.494,0.674,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.22,0.416,0.312,false,0.32,sample_seed_local_demand_context,745,720,725,1.035,0.494,false,141,1.076,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_review_or_survey;no_comp_record
case_00088,TKT000088,PMS000508,CRM000508,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,design_leisure,570,3990,6650,0.4,0,2026-10-27,2026-10-30,group_or_event,true,0,3,room_assignment_expectation_gap,view issue,outcome,3,false,0.74,true,5,0.6,0.501,0,,,0,0,0,0,0,0,0.55,0.519,0.47,0.417,0.404,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.48,0.062,0.419,false,0.32,sample_seed_local_demand_context,750,750,750,1.0,0.514,false,145,1.076,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00089,TKT000089,PMS000638,CRM000638,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,business_traveler,720,3600,6050,0.344,0,2026-01-24,2026-01-27,direct,false,0,1,housekeeping_miss,room clean issue,outcome,4,false,0.95,true,5,0.77,0.57,5.4,,,0,0,0,0,0,0,0.507,0.508,0.256,0.263,0.439,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.22,0.064,0.271,false,0.32,sample_seed_local_demand_context,710,665,675,1.068,0.356,false,112,1.026,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00090,TKT000090,PMS000316,CRM000316,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,loyalty_guest,business_traveler,460,1840,11540,0.486,0.2,2026-06-05,2026-06-05,ota,false,0,0,f_and_b_service_lapse,order problem,process,2,true,0.7,false,102,0.4,0.375,0,partial_room_refund,Rate credit,300,300,185,185,0,0,0.944,0.932,0.815,0.841,0.996,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.7,0.141,0.607,false,0.32,sample_seed_local_demand_context,945,915,920,1.033,1.0,true,284,1.288,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_review_or_survey
case_00091,TKT000091,PMS001319,CRM001319,0.78,guest_key_date_window,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,wellness_getaway,870,870,2670,0.26,0.2,2026-08-29,2026-08-29,ota,false,0,0,room_assignment_expectation_gap,view issue,outcome,3,false,0.74,true,5,0.6,0.501,0,late_checkout,4pm checkout,110,22,290,80,0,155,0.895,0.953,0.818,0.606,0.679,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.7,0.063,0.561,false,0.32,sample_seed_local_demand_context,840,850,845,0.988,0.87,true,228,1.225,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00092,TKT000092,PMS000581,CRM000581,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.62,reservation_level_comp_match,loyalty_guest,design_leisure,670,4690,23030,0.77,0.2,2026-07-17,2026-07-22,ota,true,0,3,rooftop_pool_access_issue,cabana issue,process,1,false,0.64,true,5,0.2,0.272,0,room_upgrade,Suite upgrade,300,75,270,200,0,70,0.736,0.736,0.585,0.401,0.657,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.121,0.288,false,0.32,sample_seed_local_demand_context,770,705,738,1.092,0.593,false,162,1.132,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00093,TKT000093,PMS001493,CRM001493,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,design_leisure,690,2070,2670,0.239,0,2026-08-08,2026-08-09,direct,false,0,1,room_readiness_delay,room_not_ready,outcome,3,false,0.88,true,5,0.6,0.518,0,rooftop_f_and_b_credit,Restaurant credit,115,46,120,120,0,0,0.782,0.589,0.427,0.693,0.626,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.7,0.176,0.625,false,0.32,sample_seed_local_demand_context,845,810,828,1.043,0.889,true,233,1.244,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00094,TKT000094,PMS000965,CRM000965,0.58,room_date_window,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,design_leisure,610,610,2460,0.246,0.12,2026-09-20,2026-09-20,group_or_event,false,0,0,f_and_b_service_lapse,order problem,process,3,false,0.7,false,5,0.6,0.479,0,manager_note,Manager Note,0,0,270,215,0,0,0.99,1.0,0.783,0.885,0.738,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.7,0.033,0.545,false,0.32,sample_seed_local_demand_context,895,885,890,1.011,1.0,true,268,1.283,6,0.92,sample_seed_public_rate_shape,low_reservation_match_confidence;no_review_or_survey
case_00095,TKT000095,PMS000595,CRM000595,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,loyalty_guest,local_staycation,880,2640,10540,0.528,0,2026-06-16,2026-06-16,direct,false,0,1,billing_or_fee_dispute,billing,process,4,false,0.6,true,5,0.8,0.577,0,,,0,0,0,0,0,0,0.846,0.861,0.765,0.723,0.536,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.58,0.28,sample_seed_review_taxonomy_prior,0.22,0.171,0.231,false,0.32,sample_seed_local_demand_context,725,775,775,0.935,0.415,false,124,1.034,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00096,TKT000096,PMS000659,CRM000659,0.58,room_date_window,0.95,direct_crm_id,0.0,no_comp_record,new_guest,wellness_getaway,500,3500,5830,0.337,0.12,2026-12-03,2026-12-05,corporate,false,0,1,maintenance_issue,maintenance,outcome,2,false,0.78,true,65,0.4,0.401,0,,,0,0,740,740,0,0,0.841,0.754,0.765,0.746,0.52,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.69,0.28,sample_seed_review_taxonomy_prior,0.48,0.608,0.49,false,0.32,sample_seed_local_demand_context,620,645,632,0.961,0.0,false,50,0.86,6,0.92,sample_seed_public_rate_shape,low_reservation_match_confidence;no_review_or_survey;no_comp_record
case_00097,TKT000097,PMS000831,CRM000831,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,local_staycation,670,1340,1630,0.179,0,2026-10-15,2026-10-16,travel_advisor,false,0,0,f_and_b_service_lapse,restaurant issue,process,3,false,0.7,true,5,0.6,0.479,0,,,0,0,450,450,0,0,0.729,0.787,0.79,0.791,0.427,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.48,0.039,0.433,false,0.32,sample_seed_local_demand_context,785,710,718,1.106,0.652,false,175,1.16,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00098,TKT000098,PMS001097,CRM001097,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,business_traveler,700,700,1190,0.161,0,2026-08-12,2026-08-12,direct,false,0,1,rooftop_pool_access_issue,pool wait,process,3,false,0.64,true,5,0.6,0.479,0,parking_fee_waiver,Valet comp,0,0,0,0,0,0,0.817,0.728,0.558,0.653,0.798,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.402,0.291,false,0.32,sample_seed_local_demand_context,780,705,718,1.106,0.632,false,171,1.152,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00099,TKT000099,PMS000631,CRM000631,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,event_or_suite_guest,wellness_getaway,1020,4080,25030,0.829,0,2026-03-19,2026-03-20,corporate,false,0,1,room_readiness_delay,arrival delay,outcome,3,false,0.88,true,5,0.6,0.518,0,,,0,0,0,0,0,0,0.387,0.442,0.407,0.594,0.155,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.48,0.113,0.433,false,0.32,sample_seed_local_demand_context,775,750,752,1.033,0.613,false,166,1.126,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00100,TKT000100,PMS000408,CRM000408,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,coastal_weekend,520,1560,3410,0.223,0.2,2026-11-18,2026-11-20,corporate,false,0,1,billing_or_fee_dispute,folio issue,process,4,false,0.6,false,5,0.8,0.577,0,room_upgrade,Suite upgrade,285,71,670,55,560,25,0.676,0.732,0.459,0.676,0.398,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.58,0.28,sample_seed_review_taxonomy_prior,0.48,0.132,0.434,false,0.32,sample_seed_local_demand_context,805,795,795,1.013,0.731,true,194,1.17,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00101,TKT000101,PMS000037,CRM000037,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,wellness_getaway,750,3000,4710,0.303,0.2,2026-10-31,2026-11-01,direct,false,0,1,housekeeping_miss,linen/turndown,outcome,3,false,0.9,false,5,0.6,0.513,0,manager_note,No dollar comp,0,0,775,370,405,0,0.325,0.436,0.307,0.396,0.316,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.48,0.087,0.445,false,0.32,sample_seed_local_demand_context,755,765,762,0.987,0.534,false,149,1.084,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00102,TKT000102,PMS001208,CRM001208,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.62,reservation_level_comp_match,new_guest,event_or_wedding,430,1290,2710,0.188,0.2,2026-01-12,2026-01-13,corporate,false,0,0,room_readiness_delay,late room,outcome,5,false,0.93,true,5,1.0,0.726,0,partial_room_refund,Room rate adjustment,435,435,335,270,0,65,0.461,0.452,0.553,0.365,0.136,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.22,0.108,0.224,false,0.32,sample_seed_local_demand_context,605,540,542,1.12,0.0,false,48,0.89,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00103,TKT000103,PMS001070,CRM001070,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,design_leisure,480,960,1530,0.161,0.2,2026-01-08,2026-01-08,ota,false,0,0,maintenance_issue,facilities issue,outcome,4,false,0.83,false,72,0.8,0.608,0,spa_wellness_credit,Surya-style credit,230,127,0,0,0,0,0.622,0.745,0.477,0.443,0.395,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.69,0.28,sample_seed_review_taxonomy_prior,0.22,0.1,0.211,false,0.32,sample_seed_local_demand_context,715,700,708,1.021,0.375,false,116,1.023,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00104,TKT000104,PMS000439,CRM000439,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,business_traveler,520,1560,3140,0.205,0.2,2026-08-13,2026-08-13,direct,false,0,0,billing_or_fee_dispute,folio issue,process,3,false,0.55,true,5,0.624,0.498,5.8,parking_fee_waiver,Valet comp,100,18,575,550,0,0,0.685,0.739,0.415,0.382,0.719,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.58,0.28,sample_seed_review_taxonomy_prior,0.22,0.079,0.25,false,0.32,sample_seed_local_demand_context,690,745,718,0.926,0.277,false,97,0.976,6,0.92,sample_seed_public_rate_shape,
case_00105,TKT000105,PMS000452,CRM000452,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,coastal_weekend,710,1420,2650,0.241,0.2,2026-02-05,2026-02-05,direct,false,0,3,f_and_b_service_lapse,order problem,process,2,true,0.7,true,5,0.587,0.432,6.7,rooftop_f_and_b_credit,Restaurant credit,185,74,560,345,0,215,0.464,0.45,0.348,0.474,0.271,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.163,0.23,false,0.32,sample_seed_local_demand_context,650,590,610,1.102,0.119,false,69,0.935,6,0.92,sample_seed_public_rate_shape,severity_inferred
case_00106,TKT000106,PMS000006,CRM000006,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,loyalty_guest,business_traveler,840,840,3550,0.375,0,2026-07-25,2026-07-25,group_or_event,false,0,1,room_readiness_delay,late room,outcome,2,false,0.88,true,5,0.4,0.415,0,amenity_gesture,Welcome amenity,0,0,275,275,0,0,0.976,0.941,0.879,0.517,0.869,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.7,0.149,0.629,false,0.32,sample_seed_local_demand_context,1010,965,988,1.047,1.0,true,303,1.292,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00107,TKT000107,PMS001451,CRM001451,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,business_traveler,600,4200,16070,0.548,0.2,2026-11-24,2026-11-25,corporate,false,0,0,noise_disruption,sleep disruption,process,3,false,0.48,true,5,0.673,0.558,5.2,late_checkout,Late checkout,0,0,400,230,0,125,0.7,0.642,0.567,0.382,0.418,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.62,0.28,sample_seed_review_taxonomy_prior,0.22,0.052,0.267,false,0.32,sample_seed_local_demand_context,630,640,635,0.984,0.04,false,56,0.877,6,0.92,sample_seed_public_rate_shape,
