comp_ledger_id,service_ticket_id,pms_reservation_id,guest_lookup_key,comp_action_raw,face_value,estimated_internal_cost,approval_status,approver_role,posted_date,ledger_loaded_at
CMP000219,,PMS001572,guest_key_01572,In-room gesture,80,36,approved,front_office_manager,2026-08-17,2026-08-18T20:29:00
CMP000220,TKT000374,PMS000044,guest_key_00044,No dollar comp,0,0,approved,guest_experience_manager,2026-11-04,2026-11-04T17:40:00
CMP000221,TKT000375,PMS001163,guest_key_01163,Late checkout,100,20,approved,guest_experience_manager,2026-10-31,2026-11-05T11:12:00
CMP000222,TKT000376,PMS000123,guest_key_00123,Personal apology,0,0,approved,guest_experience_manager,2026-10-29,2026-10-30T15:08:00
CMP000223,TKT000377,,guest_key_00946,Calabra recovery,145,58,approved,guest_experience_manager,2026-12-07,2026-12-10T21:09:00
CMP000224,TKT000379,PMS000609,,Welcome amenity,60,27,pending,front_office_manager,2026-04-10,2026-04-14T16:30:00
CMP000225,TKT000380,PMS000537,guest_key_00537,Room move upgrade,330,82,approved,front_office_manager,2026-05-18,2026-05-22T15:22:00
CMP000226,TKT000384,PMS000267,,Palma credit,125,48,approved,guest_experience_manager,2026-01-30,2026-02-04T19:03:00
CMP000227,TKT000385,PMS000612,guest_key_00612,Valet comp,115,21,approved,rooms_director,2026-07-20,2026-07-23T09:32:00
CMP000228,TKT000387,PMS000990,guest_key_00990,F&B,175,70,approved,front_office_manager,2026-04-21,2026-04-24T08:13:00
CMP000229,TKT000388,PMS000898,guest_key_00898,F&B,115,46,approved,front_office_manager,2026-11-16,2026-11-16T19:51:00
CMP000230,TKT000389,PMS001073,guest_key_01073,Welcome amenity,70,32,approved,night_manager,2026-07-17,2026-07-17T22:08:00
CMP000231,TKT000394,PMS000865,guest_key_00865,Late checkout,65,13,approved,night_manager,2026-05-16,2026-05-22T10:31:00
CMP000232,TKT000396,,,Lobby F&B,130,49,approved,night_manager,2026-09-08,2026-09-09T17:48:00
CMP000233,TKT000397,PMS000109,guest_key_00109,Bar credit,115,44,approved,front_office_manager,2026-06-28,2026-06-29T18:34:00
CMP000234,TKT000398,PMS001422,guest_key_01422,Manager Note,0,0,approved,guest_experience_manager,2026-12-14,2026-12-19T14:34:00
CMP000235,,PMS000248,,Bottle/amenity,60,27,approved,guest_experience_manager,2026-03-26,2026-04-01T14:56:00
CMP000236,TKT000400,PMS000138,guest_key_00138,Late checkout,105,21,approved,front_office_manager,2026-07-19,2026-07-23T15:20:00
CMP000237,TKT000401,PMS001504,guest_key_01504,Comeback offer,350,210,approved,front_office_manager,2026-02-04,2026-02-10T21:42:00
CMP000238,,,,Future stay,315,189,manager_override,guest_experience_manager,2026-07-27,2026-07-29T17:41:00
CMP000239,TKT000406,PMS000854,guest_key_00854,Restaurant credit,120,48,approved,guest_experience_manager,2026-07-20,2026-07-26T10:00:00
CMP000240,TKT000407,PMS000563,,Rooftop credit,190,76,approved,rooms_director,2026-07-12,2026-07-15T15:44:00
CMP000241,,PMS000958,,Extended departure,90,18,approved,guest_experience_manager,2026-08-13,2026-08-15T09:38:00
CMP000242,TKT000409,PMS000900,,Treatment recovery,375,206,approved,rooms_director,2026-01-11,2026-01-17T14:59:00
CMP000243,,,guest_key_00058,Food Credit,120,48,rejected,front_office_manager,2026-11-19,2026-11-24T21:01:00
CMP000244,TKT000411,PMS001524,guest_key_01524,Amenity,75,34,approved,rooms_director,2026-09-06,2026-09-10T22:39:00
CMP000245,TKT000412,PMS000310,,Restaurant credit,215,86,approved,guest_experience_manager,2026-02-06,2026-02-12T13:51:00
CMP000246,TKT000413,PMS001177,guest_key_01177,Food Credit,185,74,pending,front_office_manager,2026-01-20,2026-01-26T09:54:00
CMP000247,TKT000414,,,4pm checkout,75,15,approved,guest_experience_manager,2026-06-01,2026-06-04T14:22:00
CMP000248,TKT000415,PMS000118,guest_key_00118,In-room gesture,65,29,pending,front_office_manager,2026-06-27,2026-07-03T19:56:00
CMP000249,TKT000416,,,No dollar comp,0,0,approved,front_office_manager,2026-08-20,2026-08-25T15:28:00
CMP000250,TKT000419,PMS001074,,Lobby F&B,100,38,approved,front_office_manager,2026-05-22,2026-05-27T12:19:00
CMP000251,TKT000421,PMS001381,guest_key_01381,Late checkout,80,16,manager_override,guest_experience_manager,2026-02-25,2026-03-03T15:31:00
CMP000252,,PMS000352,guest_key_00352,Personal apology,0,0,approved,guest_experience_manager,2026-02-21,2026-02-21T13:19:00
CMP000253,TKT000424,,guest_key_01526,F&B,145,58,manager_override,rooms_director,2026-01-22,2026-01-23T10:32:00
CMP000254,TKT000425,PMS000434,,Rate credit,320,320,approved,front_office_manager,2026-06-28,2026-07-03T08:29:00
CMP000255,TKT000427,PMS001571,,Upgrade,260,65,approved,general_manager,2026-06-07,2026-06-11T20:29:00
CMP000256,TKT000428,PMS001031,,4pm checkout,95,19,approved,guest_experience_manager,2026-08-10,2026-08-11T16:40:00
CMP000257,TKT000430,PMS001173,guest_key_01173,F&B,150,60,approved,guest_experience_manager,2026-04-20,2026-04-20T08:08:00
CMP000258,,,,Parking waiver,85,15,approved,front_office_manager,2026-07-07,2026-07-07
CMP000259,,PMS001000,guest_key_01000,Parking waiver,85,15,approved,front_office_manager,2026-02-07,2026-02-07
CMP000260,,PMS000126,guest_key_00126,Destination fee waive,85,15,approved,front_office_manager,2026-08-11,2026-08-11
CMP000261,,PMS000401,guest_key_00401,Bottle/amenity,55,25,approved,front_office_manager,2026-01-09,2026-01-09
CMP000262,,PMS000012,guest_key_00012,Parking waiver,85,15,approved,front_office_manager,2026-07-05,2026-07-05
CMP000263,,PMS001416,guest_key_01416,Lobby F&B,100,38,approved,front_office_manager,2026-11-05,2026-11-05
CMP000264,,PMS000581,guest_key_00581,Suite upgrade,300,75,approved,front_office_manager,2026-07-17,2026-07-17
CMP000265,,,guest_key_00811,Destination fee waive,85,15,approved,front_office_manager,2026-12-25,2026-12-25
CMP000266,,,guest_key_01247,Welcome amenity,55,25,approved,front_office_manager,2026-07-27,2026-07-27
CMP000267,,PMS001585,guest_key_01585,Refund,350,350,approved,front_office_manager,2026-05-11,2026-05-11
CMP000268,,,,F&B,150,60,approved,front_office_manager,2026-09-18,2026-09-18
CMP000269,,,,Valet comp,85,15,approved,front_office_manager,2026-10-23,2026-10-23
CMP000270,,PMS001324,guest_key_01324,Bottle/amenity,55,25,approved,front_office_manager,2026-01-15,2026-01-15
CMP000271,,PMS001418,guest_key_01418,Food Credit,150,60,approved,front_office_manager,2026-01-19,2026-01-19
CMP000272,,PMS001297,guest_key_01297,Calabra recovery,150,60,approved,front_office_manager,2026-12-18,2026-12-18
CMP000273,,,guest_key_01096,F&B,150,60,approved,front_office_manager,2026-06-16,2026-06-16
CMP000274,,,guest_key_00098,Rooftop credit,150,60,approved,front_office_manager,2026-07-24,2026-07-24
CMP000275,,PMS000109,,Amenity,55,25,approved,front_office_manager,2026-06-26,2026-06-26
CMP000276,,PMS000422,guest_key_00422,Bottle/amenity,55,25,approved,front_office_manager,2026-05-19,2026-05-19
CMP000277,,PMS001432,guest_key_01432,Bottle/amenity,55,25,approved,front_office_manager,2026-01-04,2026-01-04
CMP000278,,,guest_key_00084,Parking waiver,85,15,approved,front_office_manager,2026-01-28,2026-01-28
CMP000279,,PMS000023,guest_key_00023,Welcome amenity,55,25,approved,front_office_manager,2026-01-04,2026-01-04
CMP000280,,PMS000468,guest_key_00468,Lounge credit,100,38,approved,front_office_manager,2026-09-10,2026-09-10
CMP000281,,,guest_key_01472,Lounge credit,100,38,approved,front_office_manager,2026-01-29,2026-01-29
